# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 400, mean observations per image: 0
1 0.88999706506729126 -0.38742893934249878 0.093794099986553192 0.22137486934661865 -1.5951025485992432 1.2044633626937866 0.90199315547943115 0 1/00001.png

2 0.89355462789535522 -0.39731180667877197 0.090337380766868591 0.18852727115154266 -1.5637860298156738 1.3013412952423096 0.84332513809204102 0 1/00004.png

3 0.88841754198074341 -0.38584142923355103 0.092756859958171844 0.23073133826255798 -1.6029698848724365 1.1811206340789795 0.91564148664474487 0 1/00000.png

4 0.86183923482894897 -0.43845731019973755 0.13409958779811859 0.216808021068573 -1.4641342163085938 1.2867114543914795 1.0072319507598877 0 1/00015.png

5 0.88553547859191895 -0.423890620470047 0.10032124072313309 0.16149064898490906 -1.5176966190338135 1.4024286270141602 0.79236721992492676 0 1/00008.png

6 0.89286291599273682 -0.40223211050033569 0.096470020711421967 0.17804114520549774 -1.5461726188659668 1.3438746929168701 0.84048664569854736 0 1/00005.png

7 0.87331414222717285 -0.43880504369735718 0.11036262661218643 0.18053427338600159 -1.5180678367614746 1.3633182048797607 0.84075558185577393 0 1/00011.png

8 0.85969454050064087 -0.44765686988830566 0.13001701235771179 0.20886397361755371 -1.4947826862335205 1.2974393367767334 0.93646425008773804 0 1/00014.png

9 0.81738382577896118 -0.41351708769798279 0.19851569831371307 0.34853798151016235 -1.2214524745941162 0.99279630184173584 1.4131925106048584 0 1/00024.png

10 0.85168707370758057 -0.42670062184333801 0.16641700267791748 0.25467821955680847 -1.3517389297485352 1.1958286762237549 1.1847845315933228 0 1/00018.png

11 0.89216721057891846 -0.38555869460105896 0.095787443220615387 0.21495792269706726 -1.5906193256378174 1.2306571006774902 0.91206496953964233 0 1/00002.png

12 0.83628261089324951 -0.42325314879417419 0.18328878283500671 0.29646831750869751 -1.2927460670471191 1.0995936393737793 1.2902208566665649 0 1/00021.png

13 0.87068778276443481 -0.4390871524810791 0.12114068120718002 0.18555343151092529 -1.4961597919464111 1.3598833084106445 0.88705986738204956 0 1/00012.png

14 0.88956928253173828 -0.41508570313453674 0.097040362656116486 0.16417542099952698 -1.5249438285827637 1.3929228782653809 0.8081774115562439 0 1/00007.png

15 0.78881609439849854 -0.41038599610328674 0.21491378545761108 0.4039362370967865 -1.133631706237793 0.88488328456878662 1.5054385662078857 0 1/00027.png

